id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id,geschlecht
161,161,Philipp,Müller,,NR,FDP.Die Liberalen,AG,0.0,0.0,m
162,162,Thomas,Müller,,NR,SVP,SG,http://infocube.ch/de/p/4692736/sommer-monika,4692736.0,m
163,163,Walter,Müller,,NR,FDP.Die Liberalen,SG,,,m
164,164,Stefan,Müller-Altermatt,,NR,CVP,SO,0.0,0.0,m
165,165,Felix,Müri,,NR,SVP,LU,0.0,0.0,m
166,166,Martin,Naef,,NR,SPS,ZH,https://infocube.ch/de/p/p29002609056/herkenrath-marc,p29002609056,m
167,167,Jacques,Neirynck,,NR,PDC,VD,0.0,0.0,m
168,168,Yves,Nidegger,,NR,UDC,GE,http://infocube.ch/de/p/4127563/studer-marc,4127563.0,m
169,169,Paul,Niederberger,,SR,CVP,NW,,,m
170,170,Roger,Nordmann,,NR,PSS,VD,,,m
171,171,Ruedi,Noser,,NR,FDP.Die Liberalen,ZH,https://infocube.ch/de/p/4513204/hugi-andreas,4513204.0,m
172,172,Eric,Nussbaumer,,NR,SPS,BL,https://infocube.ch/de/p/4010952/batzli-stefan,4010952.0,m
173,173,Roberta,Pantani,,NR,Lega,TI,0.0,0.0,w
174,174,Corrado,Pardini,,NR,SPS,BE,,,m
175,175,Guy,Parmelin,,NR,UDC,VD,0.0,0.0,m
176,176,Fulvio,Pelli,,NR,PLR.Les Libéraux-Radicaux,TI,,,m
177,177,Yvan,Perrin,,NR,UDC,NE,http://infocube.ch/de/p/527355/willener-walter,527355.0,m
178,178,Bruno,Pezzatti,,NR,FDP.Die Liberalen,ZG,http://infocube.ch/de/p/4178254/enggasser-josiane,4178254.0,m
179,179,Gerhard,Pfister,,NR,CVP,ZG,,,m
180,180,Nadja,Pieren,,NR,SVP,BE,http://infocube.ch/de/p/880278/gfeller-kurt,880278.0,w
181,181,Valérie,Piller Carrard,,NR,PSS,FR,0.0,0.0,w
182,182,Mauro,Poggia,,NR,MCR,GE,,,m
183,183,Rosmarie,Quadranti,,NR,BDP,ZH,0.0,0.0,w
184,184,Lorenzo,Quadri,,NR,Lega,TI,,,m
185,185,Paul,Rechsteiner,,SR,SPS,SG,http://infocube.ch/de/p/33776/ambrosetti-renzo-carlo,33776.0,m
186,186,Luc,Recordon,,SR,Les Verts,VD,,,m
187,187,Fabio,Regazzi,,NR,PPD,TI,,,m
188,188,Lukas,Reimann,,NR,SVP,SG,,,m
189,189,Maximilian,Reimann,,NR,SVP,AG,,,m
190,190,Mathias,Reynard,,NR,PSS,VS,,,m
191,191,Alain,Ribaux,,NR,PLR.Les Libéraux-Radicaux,NE,,,m
192,192,Natalie Simone,Rickli,,NR,SVP,ZH,0.0,,w
193,193,Kathy,Riklin,,NR,CVP,ZH,,,w
194,194,Jean-François,Rime,,NR,UDC,FR,0.0,0.0,m
195,195,Markus,Ritter,,NR,CVP,TI,https://infocube.ch/de/p/944515/dissler-josef,944515.0,m
196,196,Marco,Romano,,NR,CVP,TI,http://infocube.ch/de/p/5413724/rossi-michele,5413724.0,m
197,197,Stéphane,Rossini,,NR,PSS,VS,0.0,0.0,m
198,198,Albert,Rösti,,NR,SVP,BE,https://infocube.ch/de/p/188532/gfeller-peter,188532.0,m
199,199,Pierre,Rusconi,,NR,UDC,TI,0.0,0.0,m
200,200,Rutz,Gregor A.,,NR,SVP,ZH,0.0,0.0,m
201,201,Regula,Rytz,,NR,GPS,BE,,,w
202,202,Géraldine,Savary,,SR,PSS,VD,,,w
203,203,Louis,Schelbert,,NR,GPS,LU,https://infocube.ch/de/p/865001/beglinger-fedorova-caroline,865001.0,m
204,204,Silvia,Schenker,,NR,SPS,BS,http://infocube.ch/de/p/5164353/bienlein-martin,5164353.0,w
205,205,Peter,Schilliger,,NR,FDP.Die Liberalen,LU,,,m
206,206,Urs,Schläfli,,NR,CVP,SO,,,m
207,207,Martin,Schmid,,SR,FDP.Die Liberalen,GR,0.0,0.0,m
208,208,Barbara,Schmid-Federer,,NR,CVP,ZH,https://infocube.ch/de/p/6243190/saxer-mark-arnold,6243190.0,w
209,209,Daniela,Schneeberger,,NR,FDP.Die Liberalen,BL,0.0,0.0,w
210,210,Ursula,Schneider Schüttel,,NR,SPS,FR,0.0,0.0,w
211,211,Elisabeth,Schneider-Schneiter,,NR,CVP,BL,https://infocube.ch/de/p/5190083/saladin-franz,5190083.0,w
212,212,Jean Christophe,Schwaab,,NR,PSS,VD,,,m
213,213,Urs,Schwaller,,SR,CVP,FR,,,m
214,214,Pirmin,Schwander,,NR,SVP,SZ,0.0,0.0,m
215,215,Silva,Semadeni,,NR,SPS,GR,,,w
216,216,Anne,Seydoux-Christe,,SR,PDC,JU,https://infocube.ch/de/p/6525747/oberbeck-simon,6525747.0,w
217,217,Carlo,Sommaruga,,NR,PSS,GE,infocube.ch/de/p/970677/niggli-peter,970677.0,m
218,218,Markus,Stadler,,SR,glp,UR,http://infocube.ch/de/p/4663719/rey-alfred,4663719.0,m
219,219,Jürg,Stahl,,NR,SVP,ZH,http://infocube.ch/de/p/6522394/grichting-thomas#activeMandates,6522394.0,m
220,220,Luzius,Stamm,,NR,SVP,AG,http://infocube.ch/de/p/4931043/buholzer-rene-paul,4931043.0,m
221,221,Jean-François,Steiert,,NR,PSS,FR,http://infocube.ch/de/p/872550/ziltener-erika,872550.0,m
222,222,Hans,Stöckli,,SR,SPS,BE,0.0,0.0,m
223,223,Daniel,Stolz,,NR,FDP.Die Liberalen,BS,0.0,0.0,m
224,224,Marianne,Streiff-Feller,,NR,EVP,BE,http://infocube.ch/de/p/729397/saxenhofer-peter-eugen-seraphin#activeMandates,729397.0,w
225,225,Georges,Theiler,,SR,FDP.Die Liberalen,LU,0.0,0.0,m
226,226,Adèle,Thorens Goumaz,,NR,PES,VD,,,w
227,227,Manuel,Tornare,,NR,PSS,GE,Zu ungenau,,m
228,228,Aline,Trede,,NR,GPS,BE,0.0,0.0,w
229,229,Alexander,Tschäppät,,NR,SPS,BE,,,m
230,230,Andy,Tschümperlin,,NR,SPS,SZ,,,m
231,231,Christian,van Singer,,NR,PES,VD,https://infocube.ch/de/p/6702969/michaud-gigon-sophie-alda-linette#activeMandates,6702969.0,m
232,232,Pierre-François,Veillon,,NR,UDC,VD,https://infocube.ch/de/p/4442814/schneuwly-felix,4442814.0,m
233,233,Daniel,Vischer,,NR,GPS,ZH,Zu ungenau,,m
234,234,Albert,Vitali,,NR,FDP.Die Liberalen,LU,,,m
235,235,Karl,Vogler,,NR,CSP,OW,http://infocube.ch/de/p/1190796/egle-franz,1190796.0,m
236,236,Alec,von Graffenried,,NR,GPS,BE,,,m
237,237,Erich,von Siebenthal,,NR,SVP,BE,,,m
238,238,Eric,Voruz,,NR,PSS,VD,,,m
239,239,Hansjörg,Walter,,NR,SVP,TG,Zu ungenau,,m
240,240,Hansruedi,Wandfluh,,NR,SVP,BE,https://infocube.ch/de/p/1038098/linder-stefan,1038098.0,m
241,241,Christian,Wasserfallen,,NR,FDP.Die Liberalen,BE,https://infocube.ch/de/p/p28007352913/thalhammer-alexandra#activeAddresses,p28007352913,m
242,242,Thomas,Weibel,,NR,glp,ZH,https://infocube.ch/de/p/p24006194100/kunz-stefan,p24006194100,m
243,243,Cédric,Wermuth,,NR,SPS,AG,https://infocube.ch/de/p/p22009442056/sariaslan-emine,p22009442056,m
244,244,Walter,Wobmann,,NR,SVP,SO,0.0,0.0,m
245,245,Roberto,Zanetti,,SR,SPS,SO,https://infocube.ch/de/p/4573869/tuti-giorgio#activeMandates,4573869.0,m
246,246,Lothar,Ziörjen,,NR,BDP,ZH,https://infocube.ch/de/p/472127/stockmann-benedikt-maximilian#activeMandates,472127.0,m
