id,badgegeber_id,name,deklarierte_funktion,infocubeAPI,infocube_id,infoCubeDiff,noga,bemerkungen,,rote_flagge
448,202,Fleury Mathieu,Fédération romande des consommateurs (FRC),4220813,,,0,,,
203,203,Ulrico Kessler,Pro Natura,0,,,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",,,
449,203,Beglinger Caroline,Verkehrs-Club der Schweiz (VCS),865001,865001,,Other interest groups,,,
204,204,Tschirky Erich,Schweizerische Gesundheitsliga-Konferenz (GELIKO),5397624,5397624,,0,,,
450,204,Bienlein Martin,H+ die Spitäler der Schweiz,5164353,5164353,,0,Leiter Geschäftsbereich Politik H+ (http://www.hplus.ch/de/servicenav/h_verband/geschaeftsstelle/),,
205,205,Kaufmann Hans-Peter,suissetec,264850,,,Wholesale of other machinery and equipment,,,
451,205,Müller Roland A.,Schweizerischer Arbeitgeberverband,1009092,,,,,,
206,206,Weissen Roman,KM Konsulta,519555,,,Public relations and communication activities,,,
452,206,Imbach Konrad,Verband Hafner- und Plattengeschäfte,808989,,,Activities of professional membership organisations,,,
207,207,0,0,0,0,,0,0,,0
453,207,0,0,0,0,,0,0,,0
208,208,Dürr Lucius,Schweizerischer Versicherungsverband,139779,139779,,Accident and indemnity insurance,,,
454,208,Mark Saxer,Furrer.Hugi & Partner AG,968931,6243190,,0,,,
209,209,Buser Christoph,Wirtschaftskammer Baselland,458604,4886204,,Activities of professional membership organisations,,,
455,209,0,,0,0,,0,0,,0
210,210,Nadler Anna-Lena,Jugendsession,0,,,0,,,
456,210,0,0,0,0,,0,0,,0
211,211,Mohn Sabrina,Christlichdemokratische Volkspartei (CVP) Baselland,6595930,6595930,,0,,,
457,211,Saladin Franz,Handelskammer beider Basel,417013,5190083,,Activities of business and employers membership organisations,,,
212,212,Polito Véronique,Schweizerischer Gewerkschaftsbund,6595640,5799727,,Pension funding,,,
458,212,Corpataux José,Schweizerischer Gewerkschaftsbund,271494,,,Pension funding,,,
213,213,Spicher Georges,Verband der Schweizerischen Cementindustrie (censuisse),460117,460117,,0,,,
459,213,Castella Christian,Fédération des Entreprises Romandes,5824540,,,Activities of business and employers membership organisations,,,
214,214,0,0,0,0,,0,0,,0
460,214,0,0,0,0,,0,0,,0
